,distance (mm),relative dose
0,-190.0,1.8052466074236415
1,-185.0,1.925729082232035
2,-180.0,2.0743416610402683
3,-175.0,2.2307660711328365
4,-170.0,2.400560730923593
5,-165.0,2.596232081843708
6,-160.0,2.8117334660240574
7,-155.0,3.026709053867961
8,-150.0,3.265495704376616
9,-145.0,3.543416625069294
10,-140.0,3.8292996045710055
11,-135.0,4.142148424756141
12,-130.0,4.487296162751508
13,-125.0,4.85197347895771
14,-120.0,5.257963364456068
15,-115.0,5.733433480127596
16,-110.0,6.285895202207229
17,-105.0,6.887932007437449
18,-100.0,7.563204730958307
19,-95.0,8.409736832635733
20,-90.0,9.435790826328162
21,-89.0,9.664512232682
22,-88.0,9.900745015270777
23,-87.0,10.152751687952922
24,-86.0,10.457713563091374
25,-85.0,10.830653393156007
26,-84.0,11.302367820710066
27,-83.0,11.893888699211374
28,-82.0,12.617985368259324
29,-81.0,13.633147866411091
30,-80.0,15.145939040127454
31,-79.0,17.349401258646292
32,-78.0,20.61684992084399
33,-77.0,25.342256710243007
34,-76.0,31.571441021876463
35,-75.0,38.79250256533338
36,-74.0,46.00342375087313
37,-73.0,52.0989055655247
38,-72.0,56.53437323225514
39,-71.0,59.4713213401156
40,-70.0,61.31536420579269
41,-69.0,62.404513759858595
42,-68.0,63.08053762100295
43,-67.0,63.56126570003893
44,-66.0,63.94434588802073
45,-65.0,64.24480093741822
46,-64.0,64.4400967195266
47,-63.0,64.68797213527952
48,-62.0,64.95462599161978
49,-61.0,65.13489902125828
50,-60.0,65.32643911524919
51,-59.0,65.53675764982742
52,-58.0,65.70951930323098
53,-57.0,65.85974682792973
54,-56.0,66.04753123380316
55,-55.0,66.23155995155912
56,-53.0,66.51323656036926
57,-51.0,66.80242454541435
58,-49.0,67.07658977798955
59,-47.0,67.3808005155045
60,-45.0,67.69252262925441
61,-43.0,67.91410822818506
62,-41.0,68.10564832217597
63,-39.0,68.24085309440483
64,-37.0,68.33850098545902
65,-35.0,68.49999557451017
66,-33.0,68.699047044736
67,-31.0,68.76664943085044
68,-29.0,68.7704051189679
69,-27.0,68.88683145060944
70,-25.0,68.96945658919374
71,-23.0,69.01828053472083
72,-21.0,69.05959310401299
73,-19.0,69.02954759907324
74,-17.0,69.00701347036842
75,-15.0,69.0483260396606
76,-13.0,69.07837154460033
77,-11.0,69.06334879213045
78,-9.0,69.07461585648286
79,-7.0,69.08588292083527
80,-5.0,69.03705897530818
81,-3.0,68.98823502978108
82,-1.0,68.99199071789856
83,0.0,68.99950209413349
84,1.0,68.99199071789856
85,3.0,68.98823502978108
86,5.0,69.03705897530818
87,7.0,69.08588292083527
88,9.0,69.07461585648286
89,11.0,69.06334879213045
90,13.0,69.07837154460033
91,15.0,69.0483260396606
92,17.0,69.00701347036842
93,19.0,69.02954759907324
94,21.0,69.05959310401299
95,23.0,69.01828053472083
96,25.0,68.96945658919374
97,27.0,68.88683145060944
98,29.0,68.7704051189679
99,31.0,68.76664943085044
100,33.0,68.699047044736
101,35.0,68.49999557451017
102,37.0,68.33850098545902
103,39.0,68.24085309440483
104,41.0,68.10564832217597
105,43.0,67.91410822818506
106,45.0,67.69252262925441
107,47.0,67.3808005155045
108,49.0,67.07658977798955
109,51.0,66.80242454541435
110,53.0,66.51323656036926
111,55.0,66.23155995155912
112,56.0,66.04753123380316
113,57.0,65.85974682792973
114,58.0,65.70951930323098
115,59.0,65.53675764982742
116,60.0,65.32643911524919
117,61.0,65.13489902125828
118,62.0,64.95462599161978
119,63.0,64.68797213527952
120,64.0,64.4400967195266
121,65.0,64.24480093741822
122,66.0,63.94434588802073
123,67.0,63.56126570003893
124,68.0,63.08053762100295
125,69.0,62.404513759858595
126,70.0,61.31536420579269
127,71.0,59.4713213401156
128,72.0,56.53437323225514
129,73.0,52.0989055655247
130,74.0,46.00342375087313
131,75.0,38.79250256533338
132,76.0,31.571441021876463
133,77.0,25.342256710243007
134,78.0,20.61684992084399
135,79.0,17.349401258646292
136,80.0,15.145939040127454
137,81.0,13.633147866411091
138,82.0,12.617985368259324
139,83.0,11.893888699211374
140,84.0,11.302367820710066
141,85.0,10.830653393156007
142,86.0,10.457713563091374
143,87.0,10.152751687952922
144,88.0,9.900745015270777
145,89.0,9.664512232682
146,90.0,9.435790826328162
147,95.0,8.409736832635733
148,100.0,7.563204730958307
149,105.0,6.887932007437449
150,110.0,6.285895202207229
151,115.0,5.733433480127596
152,120.0,5.257963364456068
153,125.0,4.85197347895771
154,130.0,4.487296162751508
155,135.0,4.142148424756141
156,140.0,3.8292996045710055
157,145.0,3.543416625069294
158,150.0,3.265495704376616
159,155.0,3.026709053867961
160,160.0,2.8117334660240574
161,165.0,2.596232081843708
162,170.0,2.400560730923593
163,175.0,2.2307660711328365
164,180.0,2.0743416610402683
165,185.0,1.925729082232035
166,190.0,1.8052466074236415
