,distance (mm),relative dose
0,-173.47,0.9481685912967703
1,-168.9,1.0007193243538939
2,-164.34,1.0666520752710575
3,-159.77,1.1450270956030335
4,-155.21,1.2093058892565969
5,-150.65,1.2740357621638692
6,-146.08,1.366055929920549
7,-141.51,1.4843138742679818
8,-136.95,1.628132976325603
9,-132.38,1.8243900416269208
10,-127.82,2.1246208749082127
11,-123.25,2.530103534054988
12,-118.69,3.013585314155648
13,-114.13,3.549956136753714
14,-109.56,4.139779850916322
15,-104.99,4.833690102872332
16,-100.43,5.575715475223991
17,-95.86,6.331273225186926
18,-91.3,7.15298926569388
19,-86.74,8.016806036547026
20,-82.17,8.932496921576734
21,-81.26,9.170065328530253
22,-80.34,9.439209283243418
23,-79.43,9.665124809476117
24,-78.52,9.898182423892544
25,-77.6,10.162063787312436
26,-76.69,10.42406565384187
27,-75.78,10.76876538355133
28,-74.87,11.240895002433643
29,-73.95,11.821283642206165
30,-73.04,12.60578564428211
31,-72.13,13.792124081537345
32,-71.21,15.767099414027527
33,-70.3,19.22123879930584
34,-69.39,25.29614864863469
35,-68.47,34.07753402021884
36,-67.56,42.623230481739924
37,-66.65,48.340660022504224
38,-65.74,51.42679391663143
39,-64.82,53.22735193768739
40,-63.91,54.40015799733134
41,-63.0,55.33238845499706
42,-62.08,56.11425916142637
43,-61.17,56.71945716015289
44,-60.26,57.39983503449763
45,-59.34,58.162910772022386
46,-58.43,58.783144745872555
47,-57.52,59.350752806789984
48,-56.61,59.97850476820198
49,-55.69,60.59122075449033
50,-54.78,61.200177746997774
51,-53.87,61.820411720847936
52,-52.95,62.38801978176537
53,-52.04,62.94435086134006
54,-51.13,63.50444093469568
55,-50.22,64.09084396451766
56,-48.39,65.33882989977981
57,-46.56,66.5567438847947
58,-44.74,67.72954994443866
59,-42.91,68.89859701030171
60,-41.08,70.14282395178296
61,-39.26,71.41336384973059
62,-37.43,72.6463138098691
63,-35.61,73.86046880110307
64,-33.78,75.13852668661252
65,-31.95,76.5443903606729
66,-30.13,77.94649504095237
67,-28.3,79.13057808193908
68,-26.48,80.22820426596483
69,-24.65,81.41980529451334
70,-22.82,82.66403223599458
71,-21.0,83.97968005931313
72,-19.17,85.28780989506986
73,-17.35,86.53955482411293
74,-15.52,87.83640767852692
75,-13.69,89.20844040855911
76,-11.87,90.56543716346768
77,-10.04,91.88484398056713
78,-8.22,93.29446664840843
79,-6.39,94.78302818564883
80,-4.57,96.17009689080467
81,-2.74,97.50453968302777
82,-0.91,98.91040335708814
83,0.0,99.69979205107929
84,0.91,100.47790376372767
85,2.74,101.92135737559717
86,4.57,103.48885778223669
87,6.39,105.14281504583715
88,8.22,106.81556727834216
89,10.04,108.53718642999898
90,11.87,110.27384155677947
91,13.69,111.98794272087449
92,15.52,113.78474174814953
93,17.35,115.57778178164367
94,19.17,117.30315992708141
95,21.0,119.13378989838463
96,22.82,121.06967169555334
97,24.65,122.9416505984466
98,26.48,124.77228056974982
99,28.3,126.78334224253675
100,30.13,128.82823485935185
101,31.95,130.5912029425987
102,33.78,132.21508825595188
103,35.61,134.008128289446
104,37.43,136.0455029186993
105,39.26,138.06784157282894
106,41.08,139.9811694073122
107,42.91,141.82683535373909
108,44.74,143.7251272130987
109,46.56,145.74746586722833
110,48.39,147.57433684475066
111,50.22,149.39744882849206
112,51.13,150.31088431725323
113,52.04,151.05516508587343
114,52.95,151.87086673633092
115,53.87,152.870759082053
116,54.78,153.85185645887054
117,55.69,154.67131710310898
118,56.61,155.5358856727183
119,57.52,156.55081399356405
120,58.43,157.32892570621243
121,59.34,157.93036471115806
122,60.26,158.5881886228173
123,61.17,159.23849454691478
124,62.08,159.6858148068431
125,63.0,159.8737644958886
126,63.91,159.51290109292123
127,64.82,157.90029276091076
128,65.74,154.03980614791607
129,66.65,144.78892245309626
130,67.56,124.24226244664149
131,68.47,92.33968222805726
132,69.39,60.40703005922573
133,70.3,39.469434699556324
134,71.21,28.125167368147657
135,72.13,21.751417513236447
136,73.04,17.9890406379235
137,73.95,15.61711556216921
138,74.87,14.04999105490778
139,75.78,12.923044719390923
140,76.69,12.057724351025414
141,77.6,11.372083885387404
142,78.52,10.783425459296879
143,79.43,10.285734682704378
144,80.34,9.892168033843088
145,81.26,9.531680530253809
146,82.17,9.200889077533716
147,86.74,7.909298814412997
148,91.3,6.853773360733433
149,95.86,5.973041117866191
150,100.43,5.2610876957618125
151,104.99,4.674684665939833
152,109.56,4.150680932880961
153,114.13,3.7209527638473157
154,118.69,3.3704265937774465
155,123.25,3.0444090631591116
156,127.82,2.757334708111005
157,132.38,2.511947594093192
158,136.95,2.3046390870759987
159,141.51,2.14856566529261
160,146.08,2.0318864983331597
161,150.65,1.9152073313737092
162,155.21,1.7852589163676462
163,159.77,1.6815482779523359
164,164.34,1.602834948180078
165,168.9,1.5105516508587344
166,173.47,1.4058636740603871
