,distance (mm),relative dose
0,0.0,51.300412968983395
1,1.0,55.99976569135694
2,2.0,62.500366107254784
3,3.0,70.0992882874967
4,4.0,77.39946694783704
5,5.0,83.50027824151363
6,6.0,88.19963096388719
7,7.0,91.69961631959698
8,8.0,94.30044225756377
9,9.0,96.19980669536947
10,10.0,97.5998008376534
11,11.0,98.60000585771608
12,12.0,99.30000292885804
13,13.0,99.69979205107929
14,14.0,99.90041882669948
15,15.0,100.0
16,16.0,99.90041882669948
17,17.0,99.79937322437982
18,18.0,99.60021087777876
19,19.0,99.30000292885804
20,20.0,98.99979497993732
21,21.0,98.60000585771608
22,22.0,98.20021673549483
23,23.0,97.80042761327358
24,24.0,97.40063849105233
25,25.0,97.10043054213162
26,26.0,96.70064141991037
27,27.0,96.40043347098965
28,28.0,95.89959874644876
29,29.0,95.49980962422751
30,30.0,95.10002050200626
31,31.0,94.70023137978502
32,32.0,94.30044225756377
33,33.0,93.90065313534252
34,34.0,93.49939958410215
35,35.0,93.09961046188091
36,36.0,92.60024016635913
37,37.0,92.20045104413789
38,38.0,91.80066192191666
39,39.0,91.39940837067627
40,40.0,90.99961924845502
41,42.5,89.99941422839234
42,45.0,89.0006736373488
43,47.5,88.10004979058665
44,50.0,87.09984477052397
45,52.5,86.0996397504613
46,55.0,85.20048033271827
47,57.5,84.20027531265559
48,60.0,83.20007029259291
49,65.0,81.40028702808775
50,70.0,79.49945816126292
51,75.0,77.69967489675776
52,80.0,75.89989163225259
53,85.0,74.10010836774741
54,90.0,72.39990627654278
55,95.0,70.69970418533813
56,100.0,68.99950209413349
57,105.0,67.40034560524852
58,110.0,65.79972468734441
59,115.0,64.20056819845942
60,120.0,62.59994728055531
61,125.0,61.100371964970854
62,130.0,59.59933222036728
63,135.0,58.19933807808336
64,140.0,56.79934393579943
65,145.0,55.39934979351551
66,150.0,53.99935565123159
67,155.0,52.70040711126732
68,160.0,51.39999414228393
69,165.0,50.099581173300535
70,170.0,48.90021380663679
71,175.0,47.69938201095393
72,180.0,46.59959581759072
73,185.0,45.40022845092699
74,190.0,44.30044225756377
75,195.0,43.200656064200565
76,200.0,42.099405441818234
77,205.0,40.999619248455026
78,210.0,39.99941422839235
79,215.0,39.0006736373488
80,220.0,38.10004979058665
81,225.0,37.09984477052397
82,230.0,36.20068535278095
83,235.0,35.3000615060188
84,240.0,34.399437659256655
85,245.0,33.59985941481416
86,250.0,32.70069999707114
87,255.0,31.899657323609524
88,260.0,31.199660252467563
89,265.0,30.40008200802507
90,270.0,29.60050376358258
91,275.0,28.90050669244062
92,280.0,28.200509621298654
93,285.0,27.500512550156696
94,290.0,26.800515479014734
95,295.0,26.10051840787277
96,300.0,25.50010251003134
97,305.0,24.80010543888938
98,310.0,24.199689541047945
99,315.0,23.599273643206512
100,320.0,23.099903347684737
101,325.0,22.499487449843308
102,330.0,21.900535981020997
103,335.0,21.3997012564801
104,340.0,20.900330960958325
105,345.0,20.399496236417423
106,350.0,19.900125940895645
